Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,US,0,0,0,1,0,0
2020-01-24,US,1,0,0,2,0,0
2020-01-25,US,0,0,0,2,0,0
2020-01-26,US,3,0,0,5,0,0
2020-01-27,US,0,0,0,5,0,0
2020-01-28,US,0,0,0,5,0,0
2020-01-29,US,1,0,0,6,0,0
2020-01-30,US,0,0,0,6,0,0
2020-01-31,US,2,0,0,8,0,0
2020-02-01,US,0,0,0,8,0,0
2020-02-02,US,0,0,0,8,0,0
2020-02-03,US,3,0,0,11,0,0
2020-02-04,US,0,0,0,11,0,0
2020-02-05,US,0,0,0,11,0,0
2020-02-06,US,1,0,0,12,0,0
2020-02-07,US,0,0,0,12,0,0
2020-02-08,US,0,0,0,12,0,0
2020-02-09,US,0,3,0,12,3,0
2020-02-10,US,0,0,0,12,3,0
2020-02-11,US,1,0,0,13,3,0
2020-02-12,US,0,0,0,13,3,0
2020-02-13,US,1,0,0,14,3,0
2020-02-14,US,0,0,0,14,3,0
2020-02-15,US,0,0,0,14,3,0
2020-02-16,US,0,0,0,14,3,0
2020-02-17,US,0,0,0,14,3,0
2020-02-18,US,0,0,0,14,3,0
2020-02-19,US,0,0,0,14,3,0
2020-02-20,US,0,0,0,14,3,0
2020-02-21,US,2,2,0,16,5,0
2020-02-22,US,0,0,0,16,5,0
2020-02-23,US,0,0,0,16,5,0
2020-02-24,US,0,0,0,16,5,0
2020-02-25,US,0,1,0,16,6,0
2020-02-26,US,0,0,0,16,6,0
2020-02-27,US,1,0,0,17,6,0
2020-02-28,US,0,1,0,17,7,0
2020-02-29,US,8,0,1,25,7,1
2020-03-01,US,7,0,0,32,7,1
2020-03-02,US,23,0,5,55,7,6
2020-03-03,US,19,0,1,74,7,7
2020-03-04,US,33,0,4,107,7,11
2020-03-05,US,77,0,1,184,7,12
2020-03-06,US,53,0,2,237,7,14
2020-03-07,US,166,0,3,403,7,17
2020-03-08,US,116,0,4,519,7,21
2020-03-09,US,75,0,1,594,7,22
2020-03-10,US,188,1,6,782,8,28
2020-03-11,US,365,0,5,1147,8,33
2020-03-12,US,439,4,10,1586,12,43
2020-03-13,US,633,0,8,2219,12,51
2020-03-14,US,759,0,7,2978,12,58
2020-03-15,US,234,0,12,3212,12,70
2020-03-16,US,1467,5,27,4679,17,97
2020-03-17,US,1833,0,35,6512,17,132
2020-03-18,US,2657,88,59,9169,105,191
2020-03-19,US,4494,16,74,13663,121,265
2020-03-20,US,6367,26,99,20030,147,364
2020-03-21,US,5995,29,100,26025,176,464
2020-03-22,US,8807,2,110,34832,178,574
2020-03-23,US,11220,0,189,46052,178,763
