Province_State,Confirmed,Deceased,Recovered,Date
Alabama,4888,157,,04-19-2020
Alaska,319,9,153.0,04-19-2020
American Samoa,0,0,,04-19-2020
Arizona,4933,184,994.0,04-19-2020
Arkansas,1781,39,721.0,04-19-2020
California,31431,1177,,04-19-2020
Colorado,9730,420,,04-19-2020
Connecticut,17962,1127,,04-19-2020
Delaware,2538,67,466.0,04-19-2020
Diamond Princess,49,0,0.0,04-19-2020
District of Columbia,2793,96,622.0,04-19-2020
Florida,26314,774,,04-19-2020
Georgia,18301,687,,04-19-2020
Grand Princess,103,0,0.0,04-19-2020
Guam,136,5,112.0,04-19-2020
Hawaii,580,10,410.0,04-19-2020
Idaho,1668,44,520.0,04-19-2020
Illinois,30357,1290,,04-19-2020
Indiana,11211,562,,04-19-2020
Iowa,2902,75,1171.0,04-19-2020
Kansas,1905,93,,04-19-2020
Kentucky,2960,146,1174.0,04-19-2020
Louisiana,23928,1296,,04-19-2020
Maine,867,34,393.0,04-19-2020
Maryland,12847,461,914.0,04-19-2020
Massachusetts,38077,1706,,04-19-2020
Michigan,31424,2391,3237.0,04-19-2020
Minnesota,2356,134,1160.0,04-19-2020
Mississippi,4274,159,,04-19-2020
Missouri,5743,199,,04-19-2020
Montana,433,10,243.0,04-19-2020
Nebraska,1474,28,,04-19-2020
Nevada,3728,158,,04-19-2020
New Hampshire,1390,38,513.0,04-19-2020
New Jersey,85301,4362,,04-19-2020
New Mexico,1845,55,465.0,04-19-2020
New York,247815,18298,23887.0,04-19-2020
North Carolina,6601,200,,04-19-2020
North Dakota,585,9,189.0,04-19-2020
Northern Mariana Islands,14,2,9.0,04-19-2020
Ohio,11602,471,,04-19-2020
Oklahoma,2567,140,1575.0,04-19-2020
Oregon,1910,74,,04-19-2020
Pennsylvania,32902,1276,,04-19-2020
Puerto Rico,1213,62,,04-19-2020
Rhode Island,4706,150,244.0,04-19-2020
South Carolina,4377,120,2633.0,04-19-2020
South Dakota,1635,7,646.0,04-19-2020
Tennessee,7070,148,3344.0,04-19-2020
Texas,19260,490,5334.0,04-19-2020
Utah,3069,27,679.0,04-19-2020
Vermont,813,38,15.0,04-19-2020
Virgin Islands,53,3,48.0,04-19-2020
Virginia,8542,277,1267.0,04-19-2020
Washington,12255,636,,04-19-2020
West Virginia,890,18,265.0,04-19-2020
Wisconsin,4346,220,,04-19-2020
Wyoming,313,2,227.0,04-19-2020
Recovered,0,0,70337.0,04-19-2020
Alabama,8691,343,,05-06-2020
Alaska,372,10,284.0,05-06-2020
American Samoa,0,0,,05-06-2020
Arizona,9707,426,1693.0,05-06-2020
Arkansas,3611,87,2109.0,05-06-2020
California,60616,2464,,05-06-2020
Colorado,17832,919,2801.0,05-06-2020
Connecticut,30995,2718,4346.0,05-06-2020
Delaware,5778,193,2008.0,05-06-2020
Diamond Princess,49,0,,05-06-2020
District of Columbia,5461,277,808.0,05-06-2020
Florida,38002,1539,,05-06-2020
Georgia,30743,1327,,05-06-2020
Grand Princess,103,3,,05-06-2020
Guam,149,5,123.0,05-06-2020
Hawaii,626,17,551.0,05-06-2020
Idaho,2158,66,1379.0,05-06-2020
Illinois,68232,2974,,05-06-2020
Indiana,21870,1377,,05-06-2020
Iowa,10404,219,3803.0,05-06-2020
Kansas,5993,164,318.0,05-06-2020
Kentucky,5934,283,2058.0,05-06-2020
Louisiana,30399,2167,20316.0,05-06-2020
Maine,1254,62,766.0,05-06-2020
Maryland,28163,1437,1903.0,05-06-2020
Massachusetts,72025,4420,,05-06-2020
Michigan,45179,4256,15659.0,05-06-2020
Minnesota,8579,485,5005.0,05-06-2020
Mississippi,8424,374,4421.0,05-06-2020
Missouri,9323,428,,05-06-2020
Montana,456,16,417.0,05-06-2020
Nebraska,6689,78,,05-06-2020
Nevada,5741,289,203.0,05-06-2020
New Hampshire,2741,92,1105.0,05-06-2020
New Jersey,131890,8549,15642.0,05-06-2020
New Mexico,4291,169,964.0,05-06-2020
New York,323978,25623,54597.0,05-06-2020
North Carolina,13053,492,,05-06-2020
North Dakota,1323,31,582.0,05-06-2020
Northern Mariana Islands,15,2,12.0,05-06-2020
Ohio,21576,1225,,05-06-2020
Oklahoma,4202,253,2909.0,05-06-2020
Oregon,2916,115,1125.0,05-06-2020
Pennsylvania,54800,3345,,05-06-2020
Puerto Rico,1968,99,,05-06-2020
Rhode Island,10205,370,665.0,05-06-2020
South Carolina,6936,305,3816.0,05-06-2020
South Dakota,2780,29,1977.0,05-06-2020
Tennessee,13938,239,6564.0,05-06-2020
Texas,34928,954,17622.0,05-06-2020
Utah,5595,58,2509.0,05-06-2020
Vermont,908,52,706.0,05-06-2020
Virgin Islands,66,4,54.0,05-06-2020
Virginia,20257,713,2617.0,05-06-2020
Washington,15905,870,,05-06-2020
West Virginia,1242,50,716.0,05-06-2020
Wisconsin,8901,362,4348.0,05-06-2020
Wyoming,631,7,409.0,05-06-2020
Alabama,70358,1303,29736.0,07-21-2020
Alaska,2042,18,737.0,07-21-2020
American Samoa,0,0,,07-21-2020
Arizona,148683,2918,18863.0,07-21-2020
Arkansas,34655,374,27283.0,07-21-2020
California,409305,7888,,07-21-2020
Colorado,41041,1763,5019.0,07-21-2020
Connecticut,48096,4406,8466.0,07-21-2020
Delaware,13746,525,7362.0,07-21-2020
Diamond Princess,49,0,,07-21-2020
District of Columbia,11427,580,1932.0,07-21-2020
Florida,369834,5206,,07-21-2020
Georgia,148988,3254,,07-21-2020
Grand Princess,103,3,,07-21-2020
Guam,319,5,235.0,07-21-2020
Hawaii,1418,24,1057.0,07-21-2020
Idaho,15823,126,4335.0,07-21-2020
Illinois,164864,7517,,07-21-2020
Indiana,57916,2846,41322.0,07-21-2020
Iowa,39721,806,28388.0,07-21-2020
Kansas,22929,316,1016.0,07-21-2020
Kentucky,24060,674,6927.0,07-21-2020
Louisiana,96583,3498,53288.0,07-21-2020
Maine,3723,118,3191.0,07-21-2020
Maryland,79545,3402,5380.0,07-21-2020
Massachusetts,114033,8450,95390.0,07-21-2020
Michigan,83059,6382,55162.0,07-21-2020
Minnesota,47457,1588,41511.0,07-21-2020
Mississippi,45524,1389,30315.0,07-21-2020
Missouri,35194,1148,,07-21-2020
Montana,2711,40,1493.0,07-21-2020
Nebraska,23190,310,17237.0,07-21-2020
Nevada,37528,676,874.0,07-21-2020
New Hampshire,6262,400,5286.0,07-21-2020
New Jersey,177256,15737,31781.0,07-21-2020
New Mexico,17517,588,6814.0,07-21-2020
New York,408181,32520,72302.0,07-21-2020
North Carolina,103216,1705,78707.0,07-21-2020
North Dakota,5207,94,4319.0,07-21-2020
Northern Mariana Islands,38,2,29.0,07-21-2020
Ohio,77215,3219,53077.0,07-21-2020
Oklahoma,26326,461,19750.0,07-21-2020
Oregon,15139,269,3381.0,07-21-2020
Pennsylvania,107460,7051,77073.0,07-21-2020
Puerto Rico,12940,180,,07-21-2020
Rhode Island,17986,996,1741.0,07-21-2020
South Carolina,73337,1221,27062.0,07-21-2020
South Dakota,8019,118,7081.0,07-21-2020
Tennessee,81944,871,47852.0,07-21-2020
Texas,351071,4199,186529.0,07-21-2020
Utah,35012,251,22032.0,07-21-2020
Vermont,1366,56,1148.0,07-21-2020
Virgin Islands,304,6,158.0,07-21-2020
Virginia,79371,2048,10235.0,07-21-2020
Washington,48575,1465,,07-21-2020
West Virginia,5172,101,3546.0,07-21-2020
Wisconsin,44135,859,33902.0,07-21-2020
Wyoming,2238,25,1694.0,07-21-2020
Alabama,68891,1291,29736.0,07-20-2020
