Date,Confirmed,Deceased,Recovered,Total_Confirmed,Total_Deceased,Total_Recovered
2020-03-14,6,1,0,6,1,0
2020-03-15,0,0,0,6,1,0
2020-03-16,1,0,0,7,1,0
2020-03-17,2,0,0,9,1,0
2020-03-18,5,0,0,14,1,0
2020-03-19,1,0,0,15,1,0
2020-03-20,0,0,1,15,1,1
2020-03-21,5,0,0,20,1,1
2020-03-22,6,0,0,26,1,1
2020-03-23,7,0,1,33,1,2
2020-03-24,8,0,1,41,1,3
2020-03-25,10,0,0,51,1,3
2020-03-26,4,1,0,55,2,3
2020-03-27,9,1,2,64,3,5
2020-03-28,17,0,0,81,3,5
2020-03-29,2,0,0,83,3,5
2020-03-30,5,0,1,88,3,6
2020-03-31,13,0,2,101,3,8
2020-04-01,9,0,1,110,3,9
2020-04-02,14,0,2,124,3,11
2020-04-03,4,1,0,128,4,11
2020-04-04,16,0,0,144,4,11
2020-04-05,7,0,1,151,4,12
2020-04-06,12,0,8,163,4,20
2020-04-07,12,0,5,175,4,25
2020-04-08,6,1,3,181,5,28
2020-04-09,16,1,2,197,6,30
2020-04-10,10,0,4,207,6,34
2020-04-11,8,0,5,215,6,39
2020-04-12,17,0,15,232,6,54
2020-04-13,15,2,6,247,8,60
2020-04-14,13,2,11,260,10,71
2020-04-15,19,2,9,279,12,80
2020-04-16,36,1,2,315,13,82
2020-04-17,44,0,6,359,13,88
2020-04-18,25,1,16,384,14,104
2020-04-19,6,2,7,390,16,111
2020-04-20,18,0,1,408,16,112
2020-04-21,10,1,17,418,17,129
2020-04-22,9,0,2,427,17,131
2020-04-23,18,0,14,445,17,145
2020-04-24,29,1,7,474,18,152
2020-04-25,26,0,6,500,18,158
2020-04-26,3,1,24,503,19,182
2020-04-27,9,1,11,512,20,193
2020-04-28,11,0,14,523,20,207
2020-04-29,12,1,9,535,21,216
2020-04-30,30,1,13,565,22,229
2020-05-01,24,0,22,589,22,251
2020-05-02,12,3,20,601,25,271
2020-05-03,13,0,22,614,25,293
2020-05-04,37,2,28,651,27,321
2020-05-05,22,2,10,673,29,331
2020-05-06,20,0,23,693,29,354
2020-05-07,12,1,12,705,30,366
2020-05-08,48,0,10,753,30,376
2020-05-09,41,0,10,794,30,386
2020-05-10,54,1,36,848,31,422
2020-05-11,14,0,4,862,31,426
2020-05-12,63,0,7,925,31,433
2020-05-13,34,2,18,959,33,451
2020-05-14,28,2,9,987,35,460
2020-05-15,69,1,20,1056,36,480
2020-05-16,36,0,16,1092,36,496
2020-05-17,55,1,13,1147,37,509
2020-05-18,99,0,21,1246,37,530
2020-05-19,149,3,13,1395,40,543
2020-05-20,67,1,13,1462,41,556
2020-05-21,143,0,15,1605,41,571
2020-05-22,138,0,26,1743,41,597
2020-05-23,216,1,11,1959,42,608
2020-05-24,130,0,46,2089,42,654
2020-05-25,93,2,51,2182,44,705
2020-05-26,101,0,59,2283,44,764
2020-05-27,135,3,17,2418,47,781
2020-05-28,115,0,53,2533,47,834
2020-05-29,248,1,60,2781,48,894
2020-05-30,141,1,103,2922,49,997
2020-05-31,299,2,221,3221,51,1218
2020-06-01,187,1,100,3408,52,1318
2020-06-02,388,0,75,3796,52,1393
2020-06-03,267,1,111,4063,53,1504
2020-06-04,257,4,106,4320,57,1610
2020-06-05,515,0,83,4835,57,1693
2020-06-06,378,2,280,5213,59,1973
