Date,Confirmed,Deceased,Recovered,Total_Confirmed,Total_Deceased,Total_Recovered
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,2,0,0,2,0,0
2020-03-20,5,0,0,7,0,0
2020-03-21,7,0,0,14,0,0
2020-03-22,4,1,0,18,1,0
2020-03-23,12,0,0,30,1,0
2020-03-24,4,0,0,34,1,0
2020-03-25,4,0,0,38,1,0
2020-03-26,5,2,0,43,3,0
2020-03-27,4,0,0,47,3,0
2020-03-28,8,1,0,55,4,0
2020-03-29,8,1,1,63,5,1
2020-03-30,7,1,2,70,6,3
2020-03-31,4,0,2,74,6,5
2020-04-01,13,0,0,87,6,5
2020-04-02,1,1,5,88,7,10
2020-04-03,7,2,0,95,9,10
2020-04-04,13,1,3,108,10,13
2020-04-05,20,1,8,128,11,21
2020-04-06,18,1,1,146,12,22
2020-04-07,29,2,3,175,14,25
2020-04-08,11,2,0,186,16,25
2020-04-09,76,2,1,262,18,26
2020-04-10,116,1,7,378,19,33
2020-04-11,90,3,11,468,22,44
2020-04-12,48,2,0,516,24,44
2020-04-13,56,2,10,572,26,54
2020-04-14,78,2,5,650,28,59
2020-04-15,116,5,5,766,33,64
2020-04-16,163,3,9,929,36,73
2020-04-17,170,5,13,1099,41,86
2020-04-18,277,12,7,1376,53,93
2020-04-19,367,10,12,1743,63,105
2020-04-20,196,8,26,1939,71,131
2020-04-21,239,19,8,2178,90,139
2020-04-22,229,13,40,2407,103,179
2020-04-23,217,9,79,2624,112,258
2020-04-24,191,15,7,2815,127,265
2020-04-25,256,6,17,3071,133,282
2020-04-26,230,18,31,3301,151,313
2020-04-27,247,11,81,3548,162,394
2020-04-28,226,19,40,3774,181,434
2020-04-29,308,16,93,4082,197,527
2020-04-30,313,17,86,4395,214,613
2020-05-01,326,22,123,4721,236,736
2020-05-02,333,26,160,5054,262,896
2020-05-03,374,28,146,5428,290,1042
2020-05-04,376,29,153,5804,319,1195
2020-05-05,441,49,186,6245,368,1381
2020-05-06,380,28,119,6625,396,1500
2020-05-07,388,29,209,7013,425,1709
2020-05-08,390,24,163,7403,449,1872
2020-05-09,394,23,219,7797,472,2091
2020-05-10,398,21,454,8195,493,2545
2020-05-11,347,20,235,8542,513,2780
2020-05-12,362,24,466,8904,537,3246
2020-05-13,364,29,316,9268,566,3562
2020-05-14,324,20,191,9592,586,3753
2020-05-15,340,20,282,9932,606,4035
2020-05-16,1057,19,273,10989,625,4308
2020-05-17,391,34,191,11380,659,4499
2020-05-18,366,35,305,11746,694,4804
2020-05-19,395,25,239,12141,719,5043
2020-05-20,398,30,176,12539,749,5219
2020-05-21,371,24,269,12910,773,5488
2020-05-22,363,29,392,13273,802,5880
2020-05-23,396,27,289,13669,829,6169
2020-05-24,394,29,243,14063,858,6412
2020-05-25,405,30,224,14468,888,6636
2020-05-26,361,27,501,14829,915,7137
